ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
275,I am a developer by profession,"Student, full-time",Israel,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School;Other (please specify):,10,NA,NA,NA,NA,NA,NA,C;C++;Java;Python,C++;Java;Python,MariaDB,NA,AWS,NA,NA,NA,NA,NA,Docker;Git;Kubernetes,Docker;Git;Kubernetes,Android Studio;Eclipse;IntelliJ;PyCharm;Visual Studio Code,IntelliJ;PyCharm;Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent;Middle Eastern,None of the above,I have an anxiety disorder,Appropriate in length,Easy,NA
276,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,England,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",4,2,"Developer, full-stack;Student",2 to 9 employees,GBP	Pound sterling,15000,Yearly,C#;HTML/CSS;JavaScript;SQL;VBA,NA,Microsoft SQL Server,MongoDB,NA,NA,ASP.NET;ASP.NET Core ;jQuery,React.js,.NET Framework;.NET Core / .NET 5,NA,Git,Docker,Visual Studio;Visual Studio Code,NA,Windows,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,A few times per month or weekly,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,19389
277,I am a developer by profession,Employed full-time,France,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,Friend or family member,24,15,"Developer, full-stack;DevOps specialist",100 to 499 employees,EUR European Euro,72000,Yearly,Bash/Shell;Go;HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell;Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript,PostgreSQL,PostgreSQL,NA,NA,Angular,Angular,NA,NA,NA,NA,Visual Studio Code,Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,35-44 years old,Man,No,NA,White or of European descent,None of the above,None of the above,Too long,Easy,77831
278,I am a student who is learning to code,"Not employed, but looking for work",Turkey,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague",6,NA,Student,NA,NA,NA,NA,Assembly;Bash/Shell;C;C++;Haskell;HTML/CSS;Python;SQL,Bash/Shell;Go;HTML/CSS;JavaScript;Kotlin;Python;Ruby;Rust,PostgreSQL;Redis;SQLite,Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Heroku,AWS;DigitalOcean;Google Cloud Platform;Heroku,Django;Flask,Angular;Angular.js;Django;FastAPI;Flask;jQuery;React.js;Ruby on Rails;Spring;Vue.js,NumPy;Pandas;Qt,Flutter;Keras;NumPy;Pandas;React Native;TensorFlow;Torch/PyTorch,Docker;Git,Docker;Git;Kubernetes,Android Studio;Atom;IntelliJ;IPython/Jupyter;PyCharm;Sublime Text;Vim;Visual Studio Code,IPython/Jupyter;Neovim;Vim;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",No,18-24 years old,Man,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA
279,I am a developer by profession,Employed full-time,United States of America,Texas,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,18,13,"Developer, embedded applications or devices",500 to 999 employees,USD	United States dollar,160000,Yearly,Bash/Shell;C;C++;JavaScript;Python,Bash/Shell;C;C++;JavaScript;Node.js;Python;SQL,NA,NA,NA,NA,NA,NA,NA,NA,Git,Git,Vim;Visual Studio;Visual Studio Code;Webstorm,Vim;Visual Studio;Visual Studio Code;Webstorm,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, somewhat",No,35-44 years old,Man,No,NA,South Asian,None of the above,None of the above,Too long,Easy,160000
280,I am a developer by profession,Employed full-time,Israel,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,12,8,"Developer, back-end;Engineering manager","1,000 to 4,999 employees",ILS	Israeli new shekel,686677,Yearly,Java;Scala,Scala,Couchbase;Elasticsearch;Microsoft SQL Server,Couchbase;Elasticsearch,AWS,AWS,NA,NA,NA,NA,Docker;Git;Kubernetes,Docker;Git;Kubernetes,IntelliJ,IntelliJ,MacOS,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,Multiracial,None of the above,None of the above,Appropriate in length,Easy,200409
281,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United States of America,Rhode Island,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",37,31,"Developer, full-stack;Other (please specify):","Just me - I am a freelancer, sole proprietor, etc.",USD	United States dollar,185000,Yearly,C#;Dart;Go;Java;JavaScript;Matlab;SQL,C#;Dart;Java;JavaScript;Matlab;SQL,Microsoft SQL Server,Microsoft SQL Server,AWS;IBM Cloud or Watson;Microsoft Azure,AWS;IBM Cloud or Watson;Microsoft Azure,Angular;Angular.js;ASP.NET;jQuery;React.js,Angular;Angular.js;ASP.NET;jQuery;React.js,.NET Framework;.NET Core / .NET 5;Flutter,.NET Framework;.NET Core / .NET 5;Flutter,Xamarin,Xamarin,Android Studio;Eclipse;IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Android Studio;Eclipse;IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"Yes, definitely",No,55-64 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,185000
282,I code primarily as a hobby,"Student, full-time",Canada,NA,NA,Primary/elementary school,5 - 10 years,School;Online Courses or Certification;Other (please specify):,4,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;PHP,HTML/CSS;JavaScript;PHP,MySQL,MySQL,NA,NA,jQuery,jQuery,NA,NA,Git,Git,Sublime Text,Sublime Text,Windows,Visit Stack Overflow;Google it;Other (please specify):,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,Under 18 years old,Man,No,Straight / Heterosexual,"Hispanic or Latino/a/x;Or, in your own words:",None of the above,None of the above,Appropriate in length,Easy,NA
283,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",France,NA,NA,Some college/university study without earning a degree,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",10,NA,NA,NA,NA,NA,NA,Bash/Shell;HTML/CSS;JavaScript;Node.js;Perl;PHP;Python;Ruby;SQL,Bash/Shell;C;C++;Java;PowerShell;Python,MySQL;PostgreSQL,MariaDB;MySQL;PostgreSQL;SQLite,NA,NA,Angular;Angular.js;Django;jQuery,Django;jQuery;React.js;Ruby on Rails;Vue.js,NA,NA,Docker;Git,Docker;Git,Android Studio;Atom,NA,Linux-based,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",No,18-24 years old,Man,"Or, in your own words:",NA,Middle Eastern,I am blind / have difficulty seeing,NA,Too long,Easy,NA
284,I am a student who is learning to code,"Student, full-time",Germany,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",3,NA,NA,NA,NA,NA,NA,HTML/CSS;Java;Python,HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,MySQL,MySQL,Heroku,Heroku,NA,NA,NA,NA,Git,Git,Eclipse;IntelliJ;PyCharm;Visual Studio Code,IntelliJ;PyCharm;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Play games,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",Yes,Under 18 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
285,"I am not primarily a developer, but I write code sometimes as part of my work",I prefer not to say,Canada,NA,NA,Something else,25 - 34 years,"Other online resources (ex: videos, blogs, etc)",8,6,NA,I don’t know,KRW	South Korean won,NA,NA,HTML/CSS;JavaScript;Python,Python,MySQL;SQLite,MySQL;SQLite,NA,NA,Django;jQuery,Django,Pandas;TensorFlow;Torch/PyTorch,Pandas;Torch/PyTorch,NA,NA,PyCharm;Visual Studio Code,Visual Studio Code,Windows,Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",No,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Appropriate in length,Easy,NA
286,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Virginia,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):",20,9,DevOps specialist,"1,000 to 4,999 employees",USD	United States dollar,107972,Yearly,Bash/Shell;Perl;PowerShell;VBA,Bash/Shell;Perl;Rust;VBA,NA,NA,AWS,AWS,NA,NA,.NET Core / .NET 5,.NET Core / .NET 5,Docker;Git,Unity 3D,Eclipse;IntelliJ;NetBeans;Notepad++;Vim;Visual Studio;Visual Studio Code,Notepad++;Vim;Visual Studio;Visual Studio Code,Windows,Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too short,Easy,107972
287,I am a developer by profession,Employed full-time,Hong Kong (S.A.R.),NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Colleague",9,7,"Developer, full-stack;Developer, back-end",20 to 99 employees,HKD	Hong Kong dollar,520000,Yearly,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell;Java;Rust,DynamoDB;IBM DB2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,DynamoDB;Elasticsearch;MongoDB,AWS,AWS;Google Cloud Platform;Microsoft Azure,Angular.js;ASP.NET;jQuery;Spring,React.js;Spring,NA,NA,Docker;Git,Docker;Git;Kubernetes;Terraform,Eclipse;IntelliJ;Notepad++;Vim;Visual Studio Code,Eclipse;IntelliJ;Notepad++;Vim;Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,East Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,66897
288,I am a student who is learning to code,"Not employed, but looking for work",Poland,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Other (please specify):",6,NA,"Developer, back-end;Student;System administrator",NA,NA,NA,NA,Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Perl;Python;SQL,Bash/Shell;C;Go;Haskell;Java;Kotlin;LISP;SQL;TypeScript,Microsoft SQL Server;Oracle;PostgreSQL;SQLite,PostgreSQL;Redis,NA,NA,ASP.NET Core ;jQuery,ASP.NET Core ,.NET Core / .NET 5;NumPy;Pandas,.NET Core / .NET 5,Git;Unity 3D,Docker;Git,Emacs;IntelliJ;IPython/Jupyter;Neovim;Notepad++;PyCharm;Rider;Vim;Visual Studio Code,IntelliJ;Neovim;Vim;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,I have an anxiety disorder,Too short,Easy,NA
289,I am a developer by profession,Employed full-time,United Arab Emirates,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Other (please specify):,20,16,"Developer, full-stack","1,000 to 4,999 employees",AED United Arab Emirates dirham,NA,Monthly,C;Delphi;Java,Java,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Couchbase;MongoDB,AWS;Microsoft Azure;Oracle Cloud Infrastructure,NA,Angular;Angular.js;jQuery;Spring,React.js;Vue.js,.NET Framework,.NET Core / .NET 5,Docker;Git,NA,Atom;Eclipse;IntelliJ;NetBeans;Notepad++;Rider;RubyMine;Sublime Text;TextMate;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode,NA,MacOS,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",Yes,35-44 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Too long,Easy,NA
290,I am a developer by profession,Employed full-time,Argentina,NA,NA,Some college/university study without earning a degree,25 - 34 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Courses or Certification",5,Less than 1 year,"Developer, full-stack",20 to 99 employees,USD	United States dollar,75000,Yearly,HTML/CSS;JavaScript;Node.js;Python;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Ruby;TypeScript,Firebase;MySQL,PostgreSQL,Google Cloud Platform;Heroku,AWS;Google Cloud Platform;Heroku,jQuery;React.js;Ruby on Rails,jQuery;React.js;Ruby on Rails,React Native,React Native,Docker;Git;Yarn,Docker;Git;Yarn,Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Play games;Visit another developer community (please name):;Other (please specify):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,75000
291,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,England,Some college/university study without earning a degree,18 - 24 years,NA,8,6,"Developer, full-stack",100 to 499 employees,GBP	Pound sterling,37500,Yearly,HTML/CSS;JavaScript;PHP;SQL,Go;HTML/CSS;JavaScript;PHP;TypeScript,MySQL,NA,AWS,NA,jQuery;Laravel;React.js;Vue.js,Laravel;Vue.js,NA,NA,Docker;Git,Docker;Git;Kubernetes,PHPStorm;Vim,PHPStorm,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"No, not really",No,25-34 years old,Man,No,Gay or Lesbian,White or of European descent,None of the above,I have autism / an autism spectrum disorder (e.g. Asperger's),Appropriate in length,Easy,48472
292,I am a student who is learning to code,"Student, full-time",Austria,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",6,NA,NA,NA,NA,NA,NA,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Python,Assembly;C#,NA,NA,NA,NA,NA,NA,NA,NA,Git;Unity 3D,Git;Unity 3D,Android Studio;Atom;IntelliJ;Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code,Android Studio;Vim,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Play games;Other (please specify):,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,Under 18 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
293,I am a developer by profession,Employed full-time,United States of America,Missouri,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Colleague",24,16,"Developer, full-stack",I don’t know,USD	United States dollar,120000,Yearly,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;SQL,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,IBM DB2;PostgreSQL,MongoDB;MySQL;PostgreSQL,Microsoft Azure,AWS;Google Cloud Platform;Microsoft Azure,Express;React.js,Express;React.js,NA,NA,Git;Puppet,Docker;Git;Kubernetes;Puppet,Vim;Visual Studio Code,Vim;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Meditate;Play games;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual;Bisexual,White or of European descent,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,120000
294,I am a student who is learning to code,"Student, full-time",Azerbaijan,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Other (please specify):,4,NA,NA,NA,NA,NA,NA,C++;Kotlin,C++;Kotlin;Rust,SQLite,SQLite,NA,NA,NA,NA,Qt,NA,Git,Git,Android Studio;Notepad++;Visual Studio,Android Studio;Notepad++;Visual Studio,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
295,I code primarily as a hobby,I prefer not to say,Viet Nam,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",NA,NA,NA,NA,NA,NA,NA,C++;Java;JavaScript;Python,C++;Haskell;Java;JavaScript;Node.js;Python;Rust;TypeScript,NA,NA,NA,NA,NA,NA,NA,NA,Git,Git,IntelliJ;PyCharm;Rider;Visual Studio;Visual Studio Code;Webstorm,IntelliJ;RubyMine;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Panic;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,NA
296,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",United States of America,North Carolina,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25 - 34 years,Other (please specify):,20,20,"Senior Executive (C-Suite, VP, etc.)",I don’t know,USD	United States dollar,NA,Yearly,C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL,NA,PostgreSQL,NA,AWS;DigitalOcean;Google Cloud Platform,NA,React.js,NA,NumPy;Pandas,NA,Docker;Kubernetes,NA,Atom;PyCharm;Sublime Text;Visual Studio;Xcode,NA,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",No,Prefer not to say,Man,No,Straight / Heterosexual,White or of European descent,Prefer not to say,Prefer not to say,Appropriate in length,Neither easy nor difficult,NA
297,I am a developer by profession,Employed full-time,Brazil,NA,NA,Some college/university study without earning a degree,18 - 24 years,School,12,12,"Developer, front-end",10 to 19 employees,BRL	Brazilian real,3200,Monthly,Dart;HTML/CSS;JavaScript;TypeScript,Dart;HTML/CSS;JavaScript;Node.js;TypeScript,Firebase;MySQL;SQLite,Firebase;MySQL;SQLite,NA,NA,Angular,Angular;Express;Vue.js,Cordova,.NET Core / .NET 5;Cordova;Flutter,Docker;Git,Docker;Git;Unity 3D,Sublime Text;Visual Studio Code,Android Studio;Sublime Text;Visual Studio;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,"Or, in your own words:",None of the above,None of the above,Appropriate in length,Easy,8796
298,I am a student who is learning to code,"Student, full-time",India,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Colleague",3,NA,NA,NA,NA,NA,NA,C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python;SQL,Go;Python;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Elasticsearch;Firebase;Redis,Heroku,AWS;DigitalOcean;Google Cloud Platform;IBM Cloud or Watson,Django;Express;Gatsby;jQuery;React.js;Vue.js,Gatsby;React.js,NA,NA,Docker;Git;Yarn,Deno;Docker;Git;Kubernetes;Yarn,Sublime Text;Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Too long,Neither easy nor difficult,NA
299,I code primarily as a hobby,Employed full-time,United States of America,South Carolina,NA,"Other doctoral degree (Ph.D., Ed.D., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Other (please specify):",35,NA,Scientist,NA,NA,NA,NA,Bash/Shell;PHP;R;SQL,Bash/Shell;Clojure;Julia;LISP;PHP;Python;R;SQL,MariaDB,MariaDB,NA,NA,Laravel,Laravel,NA,NA,Git,Git,Emacs;Vim,Emacs;Vim,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,45-54 years old,Man,No,Straight / Heterosexual,East Asian,None of the above,None of the above,Appropriate in length,Easy,NA
300,I code primarily as a hobby,Employed full-time,France,NA,NA,"Professional degree (JD, MD, etc.)",35 - 44 years,"Other online resources (ex: videos, blogs, etc)",3,NA,Other (please specify):,NA,NA,NA,NA,Bash/Shell;HTML/CSS;PowerShell;Python;SQL,Bash/Shell;C;HTML/CSS;JavaScript;PowerShell;Python;SQL,SQLite,SQLite,NA,NA,NA,NA,NumPy;Pandas,Flutter;Keras;NumPy;Pandas,Git,Git,IPython/Jupyter;Visual Studio Code,IPython/Jupyter;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,45-54 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
301,I am a developer by profession,Employed full-time,Spain,NA,NA,"Professional degree (JD, MD, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Colleague",9,5,"Developer, mobile;Developer, front-end;Developer, full-stack;Engineer, data;Developer, back-end;Developer, embedded applications or devices;Engineering manager",20 to 99 employees,EUR European Euro,30000,Yearly,Kotlin;Python,Kotlin;Python,PostgreSQL;Redis,PostgreSQL;Redis,Microsoft Azure,Microsoft Azure,Angular;Django,Angular;Django;React.js;Vue.js,NA,NA,Docker;Git;Kubernetes,Docker;Git;Kubernetes,Android Studio;PyCharm;Visual Studio Code,Atom;IntelliJ;Webstorm,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Panic,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,NA,Appropriate in length,Easy,32429
302,I am a developer by profession,Employed full-time,Spain,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification",10,10,Other (please specify):,"10,000 or more employees",EUR European Euro,1000,Monthly,Assembly;Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Matlab;PHP;Python;R;SQL;TypeScript;VBA,Bash/Shell;C#;C++;Crystal;Dart;Delphi;Elixir;Erlang;F#;Go;Groovy;HTML/CSS;Java;JavaScript;Julia;Kotlin;LISP;Matlab;Node.js;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,NA,NA,Angular;Django;Drupal;jQuery;Laravel;React.js;Spring,Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Drupal;Express;FastAPI;Flask;Gatsby;jQuery;Laravel;React.js;Ruby on Rails;Spring;Svelte;Symfony;Vue.js,NumPy;Pandas,.NET Framework;.NET Core / .NET 5;Apache Spark;Cordova;Flutter;Hadoop;Keras;NumPy;Pandas;Qt;React Native;TensorFlow;Torch/PyTorch,Docker;Git;Unity 3D;Xamarin,Ansible;Chef;Deno;Docker;Flow;Git;Kubernetes;Pulumi;Puppet;Terraform;Unity 3D;Unreal Engine;Xamarin;Yarn,Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;Visual Studio;Visual Studio Code,Android Studio;Atom;Eclipse;Emacs;IntelliJ;IPython/Jupyter;NetBeans;Neovim;Notepad++;PHPStorm;PyCharm;Rider;RStudio;RubyMine;Sublime Text;TextMate;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Panic,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,"Woman;Non-binary, genderqueer, or gender non-conforming","Or, in your own words:",Straight / Heterosexual;Prefer to self-describe:,"White or of European descent;Hispanic or Latino/a/x;Or, in your own words:","Or, in your own words:","I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Neither easy nor difficult,12972
